name,type,neighborhood,street_address,city,state,zip
Acreage Pines Elementary School,schools,Loxahatchee,14200 Orange Blvd. ,Loxahatchee,FL,33470
Addison Mizner School,schools,Boca Raton,199 SW 12th Ave, Boca Raton,FL,33486
Allamanda Elementary School,schools,Palm Beach Gardens,10300 Allamanda Drive ,Palm Beach Gardents,FL,33410
Banyan Creek Elementary School,schools,Delray Beach,4243 Sabal Lake Road, Delray Beach,FL,33445
Barton Elementary School,schools,Lake Worth,1700 Barton Road ,Lake Worth,FL,33460
Beacon Cove Intermediate School,schools,Jupiter,150 School House Road ,Jupiter,FL,33458
Belle Glade Elementary School,schools,Belle Glade & Pahokee,500 NW Avenue L ,Belle Glade,FL,33430
Belvedere Elementary School,schools,Poinciana Park,3000 Parker Ave. ,West Palm Beach,FL,33405
Benoist Farms Elementary School,schools,Golden Lakes,1765 Benoist Farms Rd. ,West Palm Beach,FL,33411
Berkshire Elementary School,schools,Forest Hill Village,1060 Kirk Road,West Palm Beach,FL,33406
Binks Forest Elementary School,schools,Wellington,15101 Bent Creek Rd. ,Wellington,FL,33414
Blue Lake Elementary School,schools,Boca Raton,799 Banyan Trail ,Boca Raton ,FL,33431
Boca Raton Elementary School,schools,Boca Raton,103 S.W. 1st Ave.,Boca Raton,FL,33432
Calusa Elementary School,schools,Boca Raton,2051 Clint Moore Rd. ,Boca Raton,FL,33496
Cholee Lake Elementary School,schools,Greenacres,6680 Dillman Rd. ,Greenacres,FL,33413
Citrus Cove Elementary School,schools,Boynton Beach,8400 Lawrence Rd. ,Boynton Beach,FL,33436
Clifford O. Taylor/Kirklane Elementary School,schools,Palm Springs,4200 Purdy Ln. ,Palm Springs,FL,33461
Coral Reef Elementary School,schools,Lake Worth,6151 Hagen Ranch Rd. ,Lake Worth,FL,33467
Coral Sunset Elementary School,schools,Boca Raton,22400 Hammock St. ,Boca Raton,FL,33428
Crosspointe Elementary School,schools,Boynton Beach,3015 S. Congress Ave. ,Boynton Beach,FL,33426
Crystal Lakes Elementary School,schools,Boynton Beach,6050 Gateway Blvd. ,Boynton Beach,FL,33472
Cypress Trails Elementary School,schools,Royal Palm Beach,133 Park Rd. N. ,Royal Palm Beach,FL,33411
Del Prado Elementary School,schools,Boca Raton,7900 Del Prado Cir. ,Boca Raton,FL,33433
Diamond View Elementary School,schools,Greenacres,5300 Haverhill Rd. ,Greenacres,FL,33463
Discovery Key Elementary School,schools,Lake Worth,3550 Lyons Rd. ,Lake Worth,FL,33467
Dr. Mary McLeod Bethune Elementary School,schools,Riviera Beach,1501 Ave. U ,Riviera Beach,FL,33404
